Sentence #,Word,POS,Tag
,9557031100236,CD,O
,1,LS,O
,X,NNP,O
,3.02,CD,O
,3.02,CD,O
,BOPP,NNP,O
,TAPE,NNP,O
,48MM*100M,VBP,O
,CLEAR,NNP,O
,FZ-04,NNP,O
,-,HYPH,O
,36,CD,O
,6935818350846,CD,O
,1,LS,O
,X,NNP,O
,3.88,CD,O
,3.88,CD,O
,ITEM(S),NNP,O
,:,:,O
,4,CD,O
,QTY(S),UH,O
,:,:,O
,4,CD,O
,TOTAL,NNP,O
,RM,NNP,O
,33.92,CD,O
,ROUNDING,NNP,O
,ADJUSTMENT,NNP,O
,-RM,:,O
,0.02,CD,O
,TOTAL,JJ,O
,ROUNDED,NNP,O
,RM,NNP,O
,33.90,CD,B-total
,CASH,NNP,O
,RM,NNP,O
,50.00,CD,O
,CHANGE,NNP,O
,RM,NNP,O
,16.10,CD,O
,12-01-19,:,B-date
,21:13,CD,O
,SH01,NNP,O
,ZK09,NNP,O
,T4,NNP,O
,R000027830,NNP,O
,OPERATOR,NNP,O
,TRAINEE,NNP,O
,CASHIER,NNP,O
,EXCHANGE,NNP,O
,ARE,VBP,O
,ALLOWED,NNP,O
,WITHIN,IN,O
,7,CD,O
,DAYS,NNS,O
,WITH,IN,O
,RECEIPT.,NN,O
,STRICTLY,NNP,O
,NO,DT,O
,CASH,NN,O
,REFUND.,NN,O
Sentence: 3,TAN,NNP,O
,WOON,NNP,O
,YANN,VBZ,O
,YONGFATT,NNP,B-company
,ENTERPRISE,NNP,I-company
,(JM0517726),XX,O
,NO,DT,B-address
,122.124,CD,O
,JALAN,NNP,B-address
,DEDAP,NNP,I-address
,13,CD,I-address
,81100,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,TEL,NNP,O
,07-3523888,.,O
,GST,NNP,O
,ID:,NNP,O
,000849813504,CD,O
,SIMPLIFIED,VB,O
,TAX,NN,O
,INVOICE,NN,O
,CASH,NNP,O
,DOC,NNP,O
,NO,UH,B-address
,CS00031663,ADD,O
,DATE,NNP,O
,25/12/2018,CD,B-date
,CASHIER,NNP,O
,USER,NNP,O
,TIME,NNP,O
,12,CD,O
,31,CD,O
,00,CD,O
,SALESPERSON,NNP,O
,REF.,LS,O
,ITEM,RB,O
,QTY,NNP,O
,S/PRICE,CD,O
,AMOUNT,NNP,O
,TAX,NN,O
,E8318,NNP,O
,1,LS,O
,80.91,CD,O
,80.91,CD,O
,SR,NNP,O
,ELEGANT,NNP,O
,SCHTR,NN,O
,BAG,NN,O
,15,CD,O
,TOTAL,JJ,O
,QTY,NNP,O
,1,LS,O
,80.91,CD,O
,TOTAL,JJ,O
,SALES,NNS,O
,(EXCLUDING,-LRB-,O
,GST),XX,O
,:,:,O
,80.91,CD,O
,DISCOUNT,NNP,O
,:,:,O
,0.00,CD,O
,TOTAL,JJ,O
,GST,NNP,O
,:,:,O
,0.00,CD,O
,ROUNDING,NNP,O
,-0.01,XX,O
,TOTAL,JJ,O
,SALES,NNS,O
,(INCLUSIVE,-LRB-,O
,OF,IN,O
,GST),NNP,O
,:,:,O
,80.90,CD,B-total
,CASH,NN,O
,:,:,O
,100.00,CD,O
,CHANGE,NNS,O
,:,:,O
,19.10,CD,O
,GST,NNP,O
,SUMMARY,NNP,O
,TAX,NN,O
,CODE,NN,O
,%,NN,O
,AMT,NNP,O
,(RM),NNP,O
,TAX,NN,O
,(RM),VBZ,O
,SR,NNP,O
,0,NFP,O
,80.91,CD,O
,0.00,CD,O
,TOTAL,NN,O
,:,:,O
,80.91,CD,O
,0.00,CD,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,REFUNDABLE,VBN,O
,ONLY,RB,O
Sentence: 4,TAN,NNP,O
,WOON,NNP,O
,YANN,VBZ,O
,MR,NNP,B-company
,D.I.Y.,NNP,I-company
,(M),NNP,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,(CO.,ADD,O
,RFG,NNP,O
,:,:,O
,860671-D),NNP,O
,LOT,NNP,B-address
,1851-A,CD,I-address
,&,CC,I-address
,1851-B,CD,I-address
,JALAN,NNP,I-address
,KPB,NNP,I-address
,6,CD,I-address
,KAWASAN,NNP,I-address
,PERINDUSTRIAN,NNP,I-address
,BALAKONG,NNP,I-address
,43300,CD,I-address
,SERI,NNP,I-address
,KEMBANGAN,NNP,I-address
,SELANGOR,NNP,I-address
,(TESCO,-LRB-,I-address
,PUTRA,NNP,I-address
,NILAI),CD,I-address
,-INVOICE-,.,O
,KILAT,NNP,O
,AUTO,NNP,O
,ECO,NNP,O
,WASH,NNP,O
,&,CC,B-address
,SHINE,NNP,O
,ES1000,NNP,O
,1L,NN,O
,WA45,NNP,O
,/2A,NNP,O
,-,HYPH,O
,12,CD,O
,9555916500133,CD,O
,1,LS,O
,X,NNP,O
,3.11,CD,O
,3.11,CD,O
,KILAT',NNP,O
,ECO,NNP,O
,AUTO,NNP,O
,WASH,NNP,O
,&WAX,NNP,O
,EW-1000-1L,NNP,O
,WA44-A,NN,O
,-,SYM,O
,12,CD,O
,9555916500126,CD,O
,1,LS,O
,X,NNP,O
,4.62,CD,O
,4.62,CD,O
,WD40,NNP,O
,27ML,CD,O
,MOO,NN,O
,2572,CD,O
,WA43-A,NNP,O
,-,HYPH,O
,24,CD,O
,079567600084,CD,O
,1,LS,O
,X,NNP,O
,11.23,CD,O
,11.23,CD,O
,KLEENSO,NNP,O
,AJAIB,VBZ,O
,99,CD,O
,SERAI,NN,O
,WANYI,NN,O
,900G,CD,O
,WDOO,NNP,O
,-,HYPH,O
,15,CD,O
,9555651400385,CD,O
,1,LS,O
,X,NNP,O
,7.45,CD,O
,7.45,CD,O
,HANDKERCHIEF,NNP,O
,71386#2PCS,CD,O
,PI12PJ11-4,NNP,O
,-,:,O
,6/300,CD,O
,9090822,CD,O
,1,LS,O
,X,NNP,O
,4.50,CD,O
,4.50,CD,O
,ITEM,RB,O
,(S),ADD,O
,:,:,O
,5,CD,O
,QTY(S),LS,O
,:,:,O
,5,CD,O
,TOTAL,NNP,O
,RM,NNP,O
,30.91,CD,O
,ROUNDING,NNP,O
,ADJUSTMENT,NNP,O
,RM,NNP,O
,0.01,CD,O
,TOTAL,JJ,O
,ROUNDED,NNP,O
,RM,NNP,O
,30.90,CD,B-total
,CASH,NNP,O
,RM,NNP,O
,51.00,CD,O
,CHANGE,NNP,O
,RM,NNP,O
,20.10,CD,O
,18-11-18,NNP,B-date
,13,CD,O
,:,:,O
,58,CD,O
,SH01,NNP,O
,ZI53,NNP,O
,T2,NNP,O
,R000002902,NNP,O
,UPERATOR,NNP,O
,TRAINEE,NNP,O
,CASHIER,NNP,O
,EXCHANGE,NNP,O
,ARE,VBP,O
,ALLOWED,NNP,O
,WITHIN,IN,O
,7,CD,O
,DAYS,NNS,O
,WITH,IN,O
,RECEIPT.,NN,O
,STRICTLY,NNP,O
,NO,DT,O
,CASH,NN,O
,REFUND.,NN,O
Sentence: 5,TAN,NNP,O
,CHAY,NNP,O
,YEE,NN,O
,ABC,NNP,B-company
,HO,NNP,I-company
,TRADING,NN,I-company
,NO.2&4,NNP,B-address
,JALAN,NNP,I-address
,HARMONI,NNP,I-address
,3/2,CD,I-address
,TAMAN,NNP,I-address
,DESA,NNP,I-address
,HARMONI.,NNP,I-address
,81100,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,07-355,JJ,O
,2616,CD,O
,CASH,NN,O
,BILL,NNP,O
,:,:,O
,01-143008,NFP,O
,DATE,NNP,O
,:,:,O
,09/01/2019,CD,B-date
,8:01:11,CD,O
,PM,NN,O
,CASHIER,NNP,O
,:,:,O
,01,CD,O
,DESCRIPTION,NNP,O
,QTY,NNP,O
,PRICE,NN,O
,AMOUNT,NNP,O
,RM,NNP,O
,RM,NNP,O
,PLASTIC,NNP,O
,2,LS,O
,15.50,CD,O
,31.00,CD,B-total
,TOTAL,NN,O
,:,:,O
,31.00,CD,B-total
,TOTAL,NNP,O
,AMOUNT:,NNP,O
,31.00,CD,B-total
,CASH,NNP,O
,RECEIVED,VBD,O
,:,:,O
,101.00,LS,O
,CHANGE,NNS,O
,:,:,O
,70.00,CD,O
,*GOODS,JJ,O
,SOLD,NN,O
,ARE,NNP,O
,NON-REFUNDABLE*,NNP,O
,***THANK,RB,O
,YOU***,NNP,O
,***PLEASE,NNP,O
,COME,VB,O
,AGAIN***,NN,O
Sentence: 6,TAN,NNP,O
,CHAY,NNP,O
,YEE,NN,O
,SOON,NNP,B-company
,HUAT,NNP,I-company
,MACHINERY,NNP,I-company
,ENTERPRISE,NN,I-company
,(JM0352019-K),NNP,O
,NO.53,NNP,B-address
,JALAN,NNP,I-address
,PUTRA,NN,I-address
,1,CD,I-address
,TAMAN,NNP,I-address
,SRIPUTRA,NNP,O
,81200,CD,B-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,JOHOR,NNP,I-address
,TEL,NN,O
,:,:,O
,07-5547360,CD,O
,/,SYM,O
,016-7993391,.,O
,FAX,NN,O
,:,:,O
,07-5624059,ADD,O
,SOONHUAT2000@HOTMAIL.COM,NNP,O
,GST,NNP,O
,ID,NNP,O
,:,:,O
,002116837376,CD,O
,CASH,NN,O
,SALES,NNS,O
,DOC,NNP,O
,NO.,NNP,O
,:,:,O
,CS00004040,ADD,O
,DATE:,NNP,O
,11/01/2019,CD,B-date
,CASHIER,NNP,O
,:,:,O
,USER,NNP,O
,TIME:,NNP,O
,09:44:00,.,O
,SALESPERSON,NNP,O
,:,:,O
,REF.:,NNP,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE,VBN,O
,THANK,VBP,O
,YOU.,JJ,O
,ITEM,RB,O
,QTY,NNP,O
,S/PRICE,CD,O
,S/PRICE,CD,O
,AMOUNT,NNP,O
,TAX,NN,O
,1072,CD,O
,1,LS,B-address
,80.00,CD,O
,80.00,CD,O
,80.00,CD,O
,REPAIR,NN,O
,ENGINE,NN,O
,POWER,NN,O
,SPRAYER,NNP,O
,(1UNIT),-LRB-,O
,WORKMANSHIP,NNP,O
,&,CC,O
,SERVICE,NNP,O
,70549,CD,O
,1,LS,B-address
,160.00,CD,O
,160.00,CD,O
,160.00,CD,O
,GIANT,NNP,O
,606,CD,O
,OVERFLOW,NNP,O
,ASSY,NNP,O
,1071,CD,O
,1,LS,B-address
,17.00,CD,O
,17.00,CD,O
,17.00,CD,O
,ENGINE,NN,O
,OIL,NNP,O
,70791,CD,O
,1,LS,B-address
,10.00,CD,O
,10.00,CD,O
,10.00,CD,O
,GREASE,NN,O
,FOR,IN,O
,TOOLS,NNS,O
,40ML,CD,O
,(AKODA),ADD,O
,70637,CD,O
,1,LS,B-address
,6.00,CD,O
,6.00,CD,O
,6.00,CD,O
,EY20,NNP,O
,PLUG,NN,O
,CHAMPION,RB,O
,1643,CD,O
,1,LS,B-address
,8.00,CD,O
,8.00,CD,O
,8.00,CD,O
,STARTER,JJ,O
,TALI,NNP,O
,70197,CD,O
,1,LS,B-address
,10.00,CD,O
,10.00,CD,O
,10.00,CD,O
,EY20,NNP,O
,STARTER,NNP,O
,HANDLE,NNP,O
,70561,CD,O
,2,LS,O
,18.00,CD,O
,18.00,CD,O
,36.00,CD,O
,HD40,NNP,O
,1L,NN,O
,COTIN,NNS,O
,TOTAL,NNP,O
,QTY:,VBP,O
,9,CD,O
,327.00,CD,B-total
,TOTAL,JJ,O
,SALES,NNS,O
,:,:,O
,327.00,CD,B-total
,DISCOUNT,NNP,O
,:,:,O
,0.00,CD,O
,TOTAL,NN,O
,:,:,O
,0.00,CD,O
,ROUNDING,NNP,O
,:,:,O
,0.00,CD,O
,TOTAL,JJ,O
,SALES,NNS,O
,:,:,O
,327.00,CD,B-total
,CASH,NN,O
,:,:,O
,327.00,CD,B-total
,CHANGE,NNS,O
,:,:,O
,0.00,CD,O
Sentence: 7,TAN,NNP,O
,CHAY,NNP,O
,YEE,NN,O
,S.H.H.,NNP,B-company
,MOTOR,NNP,I-company
,(SUNGAI,-LRB-,I-company
,RENGIT),NNP,I-company
,SDN.,NNP,I-company
,BHD.,.,I-company
,(801580-T),-LRB-,O
,NO.,LS,B-address
,343,CD,I-address
,JALAN,NNP,I-address
,KURAU,NNP,I-address
,SUNGAI,NNP,I-address
,RENGIT,NNP,I-address
,81620,CD,I-address
,PENGERANG,NNP,I-address
,JOHOR.,NNP,I-address
,TEL:,ADD,O
,07-8263254,CD,O
,FAX:,NNP,O
,07-8266888,.,O
,INVOICE,NNP,O
,ITEM/DESC.,NN,O
,QTY,NNP,O
,U.PRICE,NNP,O
,RM(TOTAL),NNP,O
,4132,CD,O
,1,LS,O
,20.00,CD,B-total
,20.00,CD,I-total
,CROCS,NNP,O
,300X17,CD,O
,TUBES,NNS,O
,SUB,NNP,O
,TOTAL,NNP,O
,:,:,O
,20.00,CD,B-total
,ROUNDING,NNP,O
,ADJUSTMENT,NNP,O
,:,:,O
,0.00,CD,O
,GRAND,NNP,O
,TOTAL,NNP,O
,:,:,O
,20.00,CD,B-total
,CASH,NN,O
,:,:,O
,20.00,CD,B-total
,CHANGE,NNS,O
,:,:,O
,0.00,CD,O
,23-01-2019,CD,B-date
,13:14:15,CD,O
,PM,NN,O
,PRINT,NNS,O
,BY:,NNP,O
,ROOT,NNP,O
,TOKEN,NNP,O
,NO:,NNP,O
,0,CD,O
,STATION,NNP,O
,ID:,NNP,O
,A1,NNP,O
,PID:,NNP,O
,POS,NNP,O
,INVOICE,NNP,O
,NO:,NNP,O
,22497,CD,O
,THANKS,NNP,O
,YOUR,PRP$,O
,SUPPORT,NN,O
Sentence: 8,PERNIAGAAN,NNP,B-company
,ZHENG,NNP,I-company
,HUI,NNP,I-company
,JM0325955-V,NNP,O
,NO.59,JJ,B-address
,JALAN,NNP,I-address
,PERMAS,VBD,I-address
,9/5,CD,I-address
,BANDAR,JJR,I-address
,BARU,NNP,I-address
,PERMAS,NN,I-address
,JAYA,NNS,I-address
,81760,CD,I-address
,JOHOR,NNP,I-address
,BAHRU,NNP,I-address
,TEL,NN,O
,:,:,O
,07-386,NNP,O
,7524,CD,O
,FAX,NNP,O
,:,:,O
,07-386,NNP,O
,3793,CD,O
,GST,NNP,O
,NO:,NNP,O
,000800589824,CD,O
,SIMPLIFIED,VB,O
,TAX,NN,O
,INVOICE,NN,O
,GOGIANT,NNP,O
,ENGINEERING,NNP,O
,(M),HYPH,O
,SDN,NNP,O
,BHD,NNP,O
,RECEIPT#:,NNP,O
,CS00082662,NNP,O
,SALESPERSON:,NNP,O
,DATE:,NNP,O
,12/02/2018,CD,B-date
,CASHIER:,JJ,O
,USER,NNP,O
,TIME:08:30:00,NNP,O
,(RM),ADD,O
,(RM),ADD,O
,ITEM,RB,O
,QTY,NNP,O
,RSP,NNP,O
,AMOUNT,NNP,O
,8239,CD,O
,1,LS,O
,15.00,CD,O
,15.00,CD,O
,SR:,LS,O
,"11""",NN,O
,PROWESS,NNP,O
,H/DUTY,CD,O
,SILICONE,NN,O
,GUN,NN,O
,G-D2,NNS,O
,9555075109147,CD,O
,3,LS,O
,7.00,CD,O
,21.00,CD,O
,SR:,NNP,O
,XTRASEAL,NN,O
,RTV,NN,O
,ACETIC,NN,O
,SILICONE,NN,O
,SA-107,NNP,O
,9744,CD,O
,1,LS,O
,18.00,CD,O
,18.00,CD,O
,SR:,NNP,O
,CENTRAL,NNP,O
,PUNCH,NNP,O
,SET,NNP,O
,3PCS,NNP,O
,-,:,O
,"1/4""",CD,O
,"5/32"".1/4""",NN,O
,12525,CD,O
,1,LS,O
,50.00,CD,O
,50.00,CD,O
,SR.,LS,O
,"24""",CD,O
,MARKSMAN,NNP,O
,PIPE,NNP,O
,WRENCH,NNPS,O
,2016,CD,O
,3,LS,O
,0.70,CD,O
,2.10,CD,O
,SR:,NNP,O
,PVC,NNP,O
,WIRE,NN,O
,TAPE,NN,O
,1PC,CD,O
,X,NN,O
,7YD,CD,O
,TOT,NNP,O
,QTY:,IN,O
,9,CD,O
,106.10,CD,O
,(EXCLUDED,``,O
,GST),VBD,O
,SUB,NNP,O
,TOTAL,NNP,O
,(RM),VBZ,O
,:,:,O
,106.10,CD,O
,DISCOUNT,NNP,O
,(RM),VBZ,O
,:,:,O
,0.00,CD,O
,TOTAL,JJ,O
,GST,NNP,O
,(RM),-LRB-,O
,:,:,O
,6.37,CD,O
,ROUNDING,NNP,O
,(RM),-LRB-,O
,:,:,O
,-0.02,NFP,O
,TOTAL,NNP,O
,(RM),VBZ,O
,:,:,O
,112.45,CD,B-total
,CASH,NN,O
,:,:,O
,112.45,CD,B-total
,CHANGE,NNS,O
,(RM),VBZ,O
,:,:,O
,0.00,CD,O
,GST,NNP,O
,SUMMARY,NNP,O
,TAX,NN,O
,CODE,NN,O
,%,NN,O
,AMOUNT,NNP,O
,GST,NNP,O
,SR,NNP,O
,6,CD,O
,106.10,CD,O
,6.37,CD,O
,TOTAL,NN,O
,:,:,O
,106.10,CD,O
,6.37,CD,O
,GOODS,JJ,O
,SOLD,NN,O
,ARE,VBP,O
,NOT,RB,O
,RETURNABLE.,NN,O
,THANK,VBP,O
,YOU.,JJ,O
Sentence: 9,1950,CD,O
,GERBANG,NNP,B-company
,ALAF,NNP,I-company
,RESTAURANTS,NNPS,I-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,(65351-M),ADD,O
,FORMERLY,NNP,O
,KNOWN,VBN,O
,AS,IN,O
,GOLDEN,NNP,O
,ARCHES,NNP,O
,RESTAURANTS,NNP,B-company
,SDN,NNP,I-company
,BHD,NNP,I-company
,LICENSEE,NNP,O
,OF,IN,O
,MCDONALD'S,NNP,O
,LEVEL,NN,B-address
,6,CD,I-address
,BANGUNAN,NN,I-address
,TH,NN,I-address
,DAMANSARA,NN,I-address
,UPTOWN3,'',I-address
,NO.3,NNP,I-address
,JALAN,NNP,I-address
,SS21/39,CD,I-address
,47400,CD,I-address
,PETALING,NNP,I-address
,JAYA,NNS,I-address
,SELANGOR,NNP,I-address
,(GST,-LRB-,O
,ID,NNP,O
,NO:,NNP,O
,000504664064),.,O
,MCDONALD'S,NNP,O
,BHP,NNP,O
,TAMAN,NN,O
,MELAWATI(#328),NNS,O
,TEL,NNP,O
,NO.,CD,O
,03-4162-2318,.,O
,TAX,NN,O
,INVOICE,NN,O
,MFY,NNP,O
,SIDE,NNP,O
,1,CD,O
,INV#,UH,O
,003281900229170,CD,O
,ORD,NNP,O
,#50,NNP,O
,-REG,-RRB-,O
,#19-,NNP,O
,18/01/2018,CD,B-date
,10:27:03,CD,O
,QTY,NNP,O
,ITEM,RB,O
,2,CD,O
,CHICMCMUFFIN,NN,O
,1,CD,O
,M,CD,O
,PORRIDGE,NN,O
,1,CD,O
,BM,NNP,O
,2HOTCAKES,CD,O
,1,CD,O
,L,NNP,O
,COKE,NNP,O
,TAKEOUT,NNP,O
,TOTAL,JJ,O
,(INCL,NFP,O
,GST),ADD,O
,TOTAL,JJ,O
,ROUNDED,NNP,O
,CASH,FW,O
,TENDERED,NN,O
,CHANGE,NNP,O
,TOTAL,NNP,O
,INCLUDES,NNP,O
,6%,CD,O
,GST,NN,O
,TOTAL,NNP,O
,11.00,CD,O
,5.60,CD,O
,10.00,CD,O
,26.60,CD,B-total
,26.60,CD,I-total
,100.00,CD,O
,73.40,CD,O
,1.51,CD,O
,WE'D,LS,O
,LOVE,NN,O
,TO,TO,O
,HEAR,VB,O
,YOUR,PRP$,O
,FEEDBACK,NN,O
,SIT,NNP,O
,WWW.MCDFEEDBACK.COM.MY,NNP,O
,OR,CC,O
,DOWNLOAD,NNP,O
,MY,NNP,O
,MCD,NN,O
,FEEDBACK,NN,O
,FROM,IN,O
,GOOGLE,NNP,O
,PLAY/APP,JJ,O
,STORE,NN,O
,TO,TO,O
,SHARE,VB,O
,YOUR,PRP$,O
,EXPERIENCE,NN,O
,THANK,VBP,O
,YOU,PRP,O
,AND,CC,O
,PLEASE,NN,O
,COME,VB,O
,AGAIN.,NNP,O
,CUSTOMER,NNP,O
,SERVICE,NN,O
,HOTLINE,NNS,O
,:,:,O
,03-2726-5600,.,O
Sentence: 10,SAM,NNP,B-company
,SAM,NNP,I-company
,TRADING,NNP,I-company
,CO,NNP,I-company
,(742016-W),ADD,O
,67,CD,B-address
,JLN,NNS,I-address
,MEWAH,VBD,I-address
,25/63,CD,I-address
,TMN,NNP,I-address
,SRI,NNP,I-address
,MUDA,NNP,I-address
,40400,CD,I-address
,SHAH,NNP,I-address
,ALAM.,NNP,I-address
,TEL/FAX,NNP,O
,:,:,O
,03-51213881,.,O
,GST,NNP,O
,NO:,NNP,O
,001006288896,CD,O
,TAX,NN,O
,INVOICE,NN,O
,HE,PRP,O
,EOG,NNP,O
,UNICORN,NNP,O
,TWIN,NN,O
,SUPER,VBG,O
,GLUE,VBN,O
,USG-99-,.,O
,9557368063013,CD,O
,SS,NNP,O
,EZL,NNP,O
,A4,NN,O
,CYBER,NNP,O
,MIX,VBP,O
,COLOR,NNP,O
,PAPER,NN,O
,100'S8,NN,O
,2,LS,O
,008,CD,O
,1,CD,O
,X,NNS,O
,5.20,CD,O
,5.20,CD,O
,S,NN,O
,1,CD,O
,X,NNS,O
,8.90,CD,O
,8.90,CD,O
,S,NNP,O
,INV:R000721136,NNP,O
,01,CD,O
,SWH,NNP,O
,WC5,NNP,O
,NO.,LS,O
,QTY:,IN,O
,:,:,O
,SAM,NNP,B-company
,SAM,NNP,I-company
,2,CD,O
,NO.,CD,O
,ITEMS:,NN,O
,CAS,NNP,O
,TIME,NNP,O
,:,:,O
,20:17,CD,O
,2,LS,O
,TAX,NNP,O
,AMT,NNP,O
