,Receipt ID,Line #,Text,Class (item/total),Class (item/total).1,Class (item/total).2
88,US5,22,Total:     $93.58,Total,,
89,US5,23,Unpaid,Misc.,,
90,US6,1,Katana Sushi,Store Name,,
91,US6,2,2818 Hewitt Ave,Address,,
92,US6,3,"Everett, WA 98201",Address,,
93,US6,4,425-5 12-9361,Tel#,,
94,US6,5,Server: Michael C,Misc.,,
95,US6,6,2018-05-11 20:47:00,Date,Hour,
96,US6,7,Check #93  Table D2,Misc.,,
97,US6,8,Hamachi Collar   $12.00,Items,,
98,US6,9,Mega Poke Bowl  $17.00,Items,,
99,US6,10,Hamachi - Sashimi   $12.00,Items,,
100,US6,11,Maguro - Sashimi   $11.00,Items,,
101,US6,12,Salmon - Sashimi   $10.00,Items,,
102,US6,13,3 Sockeye Salmon- Sashimi,Items,,
103,US6,14,36,Misc.,,
104,US6,15,Hamachi Japapeno   $12.00,Items,,
105,US6,16,Salmon Collar   $10.00,Items,,
106,US6,17,Escolar - Sashimi  $11.00,Items,,
107,US6,18,Subtotal   $131.00,Subtotal,,
108,US6,19, Tax   $12.71,Tax,,
109,US6,20,Total    $143.71,Total,,
110,US6,21,Thank You for your visit.,Misc.,,
111,US7,1,Dona Mercedes Restaurant,Store Name,,
112,US7,2,1030 1/2 San Fernando Rd,Address,,
113,US7,3,San Fernando CA 91341,Address,,
114,US7,4,Vero,Address,,
115,US7,5,CENTER L,Address,,
116,US7,6,1 CHicharon  $2.25,Items,,
117,US7,7,3 Pupusa Queso $6.75,Items,,
118,US7,8,1 Platanos Orden  $7.75,Items,,
119,US7,9,1 Diet coke $1.50,Items,,
120,US7,10,2 Quesadilla salvadorena  $4.00,Items,,
121,US7,11,SUBTOTAL: $22.25,Subtotal,,
122,US7,12,TAX: $2.22,Tax,,
123,US7,13,TOTAL: $24.47,Total,,
124,US7,14,TIP SUGGESTIONS,Misc.,,
125,US7,15,18%: $4.40,Misc.,,
126,US7,16,20%: $4.89,Misc.,,
127,US7,17,25%: $6.12,Misc.,,
128,US7,18,Thank You!,Misc.,,
129,US8,1,Bella Pasta,Store Name,,
130,US8,2,223 Newport Ave,Address,,
131,US8,3,"Pawtucket, RI 02861",Address,,
132,US8,4,(401) 722-6297,Tel#,,
133,US8,5,www.bellapastaristorante.com,Misc.,,
134,US8,6,Check Us out on,Misc.,,
135,US8,7,google/Facebook/yelp/Trip,Misc.,,
136,US8,8,Advisor,Misc.,,
137,US8,9,Server: PM BAR P,Misc.,,
138,US8,10,2019-08-09 16:28:00,Date,Hour,
139,US8,11,Check #4   Table 21,Misc.,,
140,US8,12,Steak Tip Skewers   $12.99,Items,,
141,US8,13,Piatto Gorgonzola  $12.99,Items,,
142,US8,14,Root Beer  $2.50,Items,,
143,US8,15,Subtotal   $28.48,Subtotal,,
144,US8,16,Tax   $2.28,Tax,,
145,US8,17,Total  $30.76,Total,,
146,US8,18,Check us out on Grub hub and Uber Eats for,Misc.,,
147,US8,19,Delivery!!!,Misc.,,
148,US8,20,Restaurant Hours,Misc.,,
149,US239,1,Walmart,Store Name,,
150,US239,2,Save money. Live better.,Misc.,,
151,US239,3,( 330 ) 339 3991,Tel#,,
152,US239,4,MANAGER DIANA EARNEST,Misc.,,
153,US239,5,231 BLUEBELL DR SW,Address,,
154,US239,6,NEW PHILADELPHIA OH 44663 ,Address,,
155,US239,7,ST# 02115 OP# 009044 TE# 44 TR# 01301,Misc.,,
156,US239,8,PET TOY 004747571658 1.97 X,Items,,
157,US239,9,FLOPPY PUPPY 004747514846 1.97 X ,Items,,
158,US239,10,SSSUPREME S 070060332153  4.97 X,Items,,
159,US239,11,2.5 SQUEAK 084699803238 5.92 X,Items,,
160,US239,12,MUNCHY DMBEL 068113108796 3.77 X,Items,,
161,US239,13,DOG TREAT 007119013654 2.92 X,Items,,
162,US239,14,PED PCH 1 002310011802 0.50 X,Items,,
163,US239,15,PED PCH 1 002310011802  0.50 X,Items,,
164,US239,16,COUPON 23100 052310037000 1.00-O,Items,,
165,US239,17,HNYMD SMORES 088491226837 F 3.98 O,Items,,
166,US239,18,FRENCH DRSNG 004132100655 F 1.98 O,Items,,
167,US239,19,3 ORANGES 001466835001 F 5.47 N ,Items,,
168,US239,20,BABY CARROTS 003338366602 I 1.48 N,Items,,
169,US239,21,COLLARDS 000000004614KI 1.24 N,Items,,
170,US239,22,CALZONE 005208362080 2.50 O,Items,,
171,US239,23,MM RVW MNT 003399105848 19.77 X,Items,,
172,US239,24,STKOBRLPLABL 001558679414 1.97 X,Items,,
173,US239,25,STKOBRLPLABL 001558679414 1.97 X,Items,,
174,US239,26,STKO SUNFLWR 001558679410 0.97 X,Items,,
175,US239,27,STKO SUNFLWR 001558679410 0.97 X,Items,,
176,US239,28,STKO SUNFLWR 001558679410 0.97 X,Items,,
177,US239,29,STKO SUNFLWR 001558679410 0.97 X,Items,,
178,US239,30,BLING BEADS 076594060699 0.97 X,Items,,
179,US239,31,GREAT VALUE 007874203191 F 9.97 O,Items,,
180,US239,32,LIPTON 001200011224 F 4.48 X,Items,,
181,US239,33,DRY DOG 002310011035 12.44 X ,Items,,
182,US239,34,SUBTOTAL 93.62 ,Subtotal,,
183,US239,35,TAX 1 6.750 % 4.59,Tax,,
184,US239,36,TOTAL 98.21,Total,,
185,US239,37,VISA TEND 98.21,Misc.,,
186,US239,38,US DEBIT *** ******* 9166 I O,Misc.,,
187,US239,39,APPROVAL # 572868,Misc.,,
188,US239,40,REF # 720900544961,Misc.,,
189,US239,41,TRANS ID - 387209239650894,Misc.,,
190,US239,42,VALIDATION 87HS,Misc.,,
191,US239,43,PAYMENT SERVICE E,Misc.,,
192,US239,44,AID A0000000980840,Misc.,,
193,US239,45,TC 51319CA81DC2 2BC7,Misc.,,
194,US239,46,TERMINAL #SC010764,Misc.,,
195,US239,47,*Signature verified,Misc.,,
196,US239,48,2017-07-28 02:39:48,Date,Hour,
197,US239,49,CHANGE DUE   0.00,Misc.,,
198,US239,50,# ITEMS SOLD 25,Misc.,,
199,US239,51,TC# 0443 0223 1059 8001 5140,Misc.,,
200,US239,52,Low Prices You Can Trust. Every Day.,Misc.,,
201,US239,53,Y,Misc.,,
202,US239,54,2017-07-28 02:39:48,Date,Hour,
203,US239,55,***CUSTOMER COPY***,Misc.,,
204,US4,1,SASKA'S,Store Name,,
205,US4,2,3768 Mission Blvd,Address,,
206,US4,3,San Diego CA 92109,Address,,
207,US4,4,(858) 488-7311,Tel#,,
208,US4,5,Server: Sue 08/15/2017,Date,Date,
209,US4,6,Table 103/1 5:51 PM,Date,Hour,
210,US4,7,Guests:2 10005,Misc.,,
211,US4,8,Reprint #: 2,Misc.,,
212,US4,9,Draft Blackhouse 7.00,Total,,
213,US4,10,"""Cowboy"" 16oz Ribeye 45.00",Items,,
214,US4,11,Make It Blue 5.00,Items,,
215,US4,12,Add Lobster 21.00 ,Items,,
216,US4,13,CK Manhattan (2 @5.00) 10.00,Items,,
217,US4,14,Whistle Pig Rye 10yr (2@20.00) 40.00,Items,,
218,US4,15,(2)BMOD Up,Items,,
219,US4,16,"""Duke"" 160z Top Sirloin 34.00",Misc.,,
220,US4,17,Make It Blue 5.00 ,Items,,
221,US4,18,Subtotal 167.00,Subtotal,,
222,US4,19,Tax 12.94 ,Tax,,
223,US4,20,Total 179.94,Total,,
224,US4,21,Balance Due 179.94,Misc.,,
225,US4,22,SUGGESTED TIP,Misc.,,
226,US4,23,BEFORE DISCOUNTS,Misc.,,
227,US4,24,18%=$30.06,Misc.,,
228,US4,25,20% =$33.40,Misc.,,
229,US4,26,22%=$36. 74,Misc.,,
230,US9,1,Friendly Red's,Store Name,,
231,US9,2,of Windham,Store Name,,
232,US9,3,22 Haverhill Rd,Address,,
233,US9,4,Windham NH,Address,,
234,US9,5,603-437-7251,Tel#,,
235,US9,6,Server: Giancarlo 07/21/2018,Date,Date,
236,US9,7,104/1 12:56 PM ,Date,Hour,
237,US9,8,Guests: 2    10076,Misc.,,
238,US9,9,Reprint #:1,Misc.,,
239,US9,10,Cadillac Margarita (2 @14. 00) 28.00,Items,,
240,US9,11,Patron Silver,Misc.,,
241,US9,12,Maryland Crab Cakes 14.00,Items,,
242,US9,13,Chicken Caprese 12.00,Items,,
243,US9,14,Chix Parm Sandwich 10.00,Items,,
244,US9,15,Bud Light (2 @3.70) 7.40 ,Items,,
245,US9,16,Subtotal 71.40,Subtotal,,
246,US9,17,Tax 6.43 ,Tax,,
247,US9,18,Total 77.83,Total,,
248,US9,19,Balance Due 77. 83,Misc.,,
249,US9,20,Join us on,Misc.,,
250,US9,21,Facebook &,Misc.,,
251,US10,1,Quick 73,Misc.,,
252,US10,2,Smoke City Market,Store Name,,
253,US10,3,5242 Van Nuys BLVD,Address,,
254,US10,4,"Sherman Oaks, CA 91401",Address,,
255,US10,5,818.855.1280,Tel#,,
256,US10,6,Server: Rebecca B   ,Misc.,,
257,US10,7,Printed By: Rebecca B    S1,Misc.,,
258,US10,8,"ID 234673 #1    Jun 26, 15 04:55 PM",Date,Date,Hour
259,US10,9,1  Beef Ribs $36.866 ,Items,,
260,US10,10,Weight: 1.89 lbs $19.50/lbs,Misc.,,
261,US10,11,1 Pulled Pork Sand  $8.50,Items,,
262,US10,12,*Reg   $0.00,Misc.,,
263,US10,13,1 Creamed Corn[Small] $3.35,Items,,
264,US10,14,1 Longhorn Mac & Cheese[sm] $4.20,Items,,
265,US10,15,1 Chocolate Cake[Slice] $3.95,Items,,
266,US10,16,1 Fountain Soda $2.25,Items,,
267,US10,17,Subtotal $59.11,Subtotal,,
268,US10,18,CA Sales Tax $5.32,Tax,,
269,US10,19,Total $64.43,Total,,
270,US10,20,Wells Fargo $64.43,Misc.,,
271,US10,21,Change $0.00,Misc.,,
272,US10,22,Thank You for Visiting,Misc.,,
273,US10,23,Please visit our website,Misc.,,
274,US10,24,www.smokecitymarket.com,Misc.,,
275,US10,25,Enjoy our BBQ? 'Like' us on,Misc.,,
276,US10,26,facebook and Yelp,Misc.,,
277,US10,27,Please rate us on Zagat ,Misc.,,
278,US10,28,www.zagat.com/r/smoke-city-market-van-nuy,Misc.,,
279,US11,1,# 14,Misc.,,
280,US11,2,HP Pho Ga,Store Name,,
281,US11,3,8930 Mission Dr. # 102,Address,,
282,US11,4,"Rosemead,CA 91770",Address,,
283,US11,5,Phone (626) 288-9999,Tel#,,
284,US11,6,"Date: Apr 01, 2019 Time: 05:12PM",Date,Hour,
285,US11,7,Server: Admin,Misc.,,
286,US11,8,Bill: 59980 Table: 14,Misc.,,
287,US11,9,1 Pho Ga (Small) 8.00 ,Items,,
288,US11,10,1 Pho Ga (Large) 9.00,Items,,
289,US11,11,1 Goi Cuon 5.25 ,Items,,
290,US11,12,Subtotal 22.25,Subtotal,,
291,US11,13,TAX 2.11,Tax,,
292,US11,14,Total 24.36,Total,,
293,US11,15,S. Service Charge 40% 8.90,Misc.,,
294,US11,16,Total $33.26,Total,,
295,US11,17,Suggested Tip: 15% (3.65),Misc.,,
296,US11,18,18% (4.38),Misc.,,
297,US11,19,20% (4.87),Misc.,,
298,US11,20,"Open Time : Apr 01, 2019 04:39PM",Misc.,,
299,US11,21,Printed By: Admin,Misc.,,
300,US11,22,Thank you for Coming!,Misc.,,
301,US12,1,ALBETOS,Store Name,,
302,US12,2,MEXICAN FOOD,Store Name,,
303,US12,3,11732 ARTESIA BLVD.,Address,,
304,US12,4,"ARTESIA,CA.",Address,,
305,US12,5,Ph: (562) 860-2530 ,Tel#,,
306,US12,6,PHONE ORDERS WELCOME,Misc.,,
307,US12,7,ORDER # 01029,Misc.,,
308,US12,8,3 ASADA TACO 8.10,Items,,
309,US12,9,ATM CHARGE 0.75,Misc.,,
310,US12,10,SUBTOTAL $8.85 ,Subtotal,,
311,US12,11,TAX TOTAL $0.73 ,Tax,,
312,US12,12,TOTAL $9.58,Total,,
313,US12,13,ATM $9.58,Misc.,,
314,US12,14,RECALL :636 ,Misc.,,
315,US13,1,Loaded Cafe,Store Name,,
316,US13,2,15700 Bellflower Blvd,Address,,
317,US13,3,"Bellflower, CA 90706",Address,,
318,US13,4,135 Nathalie,Misc.,,
319,US13,5,Tbl 34/1 Chk 2763 Gst 2,Misc.,,
320,US13,6,Feb23'19 10:23AM ,Date,Hour,
321,US13,7,Dine In,Misc.,,
322,US13,8,2 Enchi Omelete 25.98,Items,,
323,US13,9,SHREDDED BEEF,Misc.,,
324,US13,10,1 Open Food 3.19 ,Items,,
325,US13,11,SHREDDED BEEG ,Misc.,,
326,US13,12,1 Open Food 3.19 ,Items,,
327,US13,13,1 Hashbrowns Side 2.99 ,Items,,
328,US13,14,1 Hashbrowns Side 2.99 ,Items,,
329,US13,15,1 Coffee Hot 2.99 ,Items,,
330,US13,16,1 Diet Coke 2.99,Items,,
331,US13,17,SUBTOTAL 44.32,Subtotal,,
332,US13,18,TAX 4.21,Tax,,
333,US13,19,10:51AM TOTAL DUE 48.53,Date,Total,
334,US13,20,THANK YOU FOR VISITING ,Misc.,,
335,US14,1,HAMMOCKS TRADING COMPANY,Store Name,,
336,US14,2,www.hammockstradingcompany.com,Misc.,,
337,US14,3,7285 Roswell Road,Address,,
338,US14,4,"Sandy Springs, Georgia",Address,,
339,US14,5,30328,Address,,
340,US14,6,770-395-9592,Tel#,,
341,US14,7,Tbl:40  Ref:155091,Misc.,,
342,US14,8,Chk:202524,Misc.,,
343,US14,9,Shannon 3/10/2017 6:23 pm,Date,Date,Hour
344,US14,10,Coke 2.50,Items,,
345,US14,11,Shrimp Entree 21.00,Items,,
346,US14,12,Mac n Cheese ,Items,,
347,US14,13,French Fries,Items,,
348,US14,14,BBQ& Blue Chz chips 6.00 ,Items,,
349,US14,15,Discount:BBQ& Blue Chz -6.00,Misc.,,
350,US14,16,Sprite 2.50 ,Items,,
351,US14,17,Lobster Roll 21.00,Items,,
352,US14,18,SubTotal 47.00,Subtotal,,
353,US14,19,State Tax 3.29,Tax,,
354,US14,20,Total 50.29,Total,,
355,US14,21,Total Due 50.29,Misc.,,
356,US14,22,1/2 Priced Oysters on the Half Shell 4-,Misc.,,
357,US14,23,6 pm daily,Misc.,,
358,US15,1,Chef Wang,Store Name,,
359,US15,2,1902 Jericho Turnpike,Address,,
360,US15,3,New Hyde Park NY 11040,Address,,
361,US15,4,Tel: 516.354.2858 Fax: 516.776.0587,Tel#,Misc.,
362,US15,5,[ A5 ] ,Misc.,,
363,US15,6,Dine In  # 1022,Misc.,,
364,US15,7,Server: lily 02/02/19,Date,Date,
365,US15,8,2 Person   02:14 PM 03:03 PM,Date,Hour,
366,US15,9,1 Scallion Pancake  $5.25,Items,,
367,US15,10,1 Little Juicy Pork Buns $9.95,Items,,
368,US15,11,1 Beef w Bak Choy (L) $8.75,Items,,
369,US15,12,1 Hunan Beef (L) $8.75,Items,,
370,US15,13,SubTotal $32.70,Subtotal,,
371,US15,14,Sales Tax $2.82,Tax,,
372,US15,15,Total $35.52,Total,,
373,US15,16,Thank You,Misc.,,
374,US15,17,Have A Nice Day ,Misc.,,
375,US16,1,2012-04-27   L1 T1  12:49 PM,Date,Misc.,Hour
376,US16,2,YOUR GUEST NUMBER IS,Misc.,,
377,US16,3,12,Misc.,,
378,US16,4,IN-N-OUT BURGER SANTA CLARA,Store Name,Address,
379,US16,5,2012-04-27 12:48:00,Date,Hour,
380,US16,6,176 1 262 1110,Misc.,,
381,US16,7,Cashier: KEVIN DU,Misc.,,
382,US16,8,Check: 12 ,Misc.,,
383,US16,9,HAMB 2.00,Items,,
384,US16,10,W GR X L XIM Inst pro,Misc.,,
385,US16,11,Counter-Take Out,Misc.,,
386,US16,12,2,Misc.,,
387,US16,13,TAX 8.25% .17,Tax,,
388,US16,14,Amount Due $2.17,Total,,
389,US16,15,Cash Tender $3.00 ,Misc.,,
390,US16,16,Change $.83,Misc.,,
391,US16,17,THANK YOU!,Misc.,,
392,US16,18,2012-04-27   L1 T1  12:49 PM,Date,Misc.,Hour
393,US17,1,Grotto Pizzeria & Tavern,Store Name,,
394,US17,2,2441 Van Horn,Address,,
395,US17,3,"Trenton, MI 48183",Address,,
396,US17,4,(734) 692-4300,Tel#,,
397,US17,5,Server: Trinity Station:2,Misc.,,
398,US17,6,Order #: 22037  Dine In,Misc.,,
399,US17,7,Table: 11  Guests: 2 ,Misc.,,
400,US17,8,1 Ultra 2.50,Items,,
401,US17,9,1 Bells Draft 5.00,Items,,
402,US17,10,Cheese Bread  6.00,Items,,
403,US17,11,1 APPS OUT FIRST 0.00 ,Items,,
404,US17,12,1 Caprese  7.00,Items,,
405,US17,13,1 SALAD OUT FIRST 0.00,Items,,
406,US17,14,1 Reg Carnivore (s) 12.50,Items,,
407,US17,15,Pepper Rings (s),Items,,
408,US17,16,1 Reg Margherita (s) 10.00,Items,,
409,US17,17,SUB TOTAL: 43.00,Subtotal,,
410,US17,18,Tax 1:  2.58 ,Tax,,
411,US17,19,TOTAL: $45.58,Total,,
412,US17,20,>>Ticket #: 128 <<,Misc.,,
413,US17,21,2017-05-12 19:48:12,Date,Hour,
414,US17,22,THANK YOU!,Misc.,,
415,US18,1,Deccan Spice,Store Name,,
416,US18,2,771 Newark Avenue,Address,,
417,US18,3,"Jersey City Local, NJ 07306",Address,,
418,US18,4,(201) 604-1772,Tel#,,
419,US18,5,Server: Com Station: 6 ,Misc.,,
420,US18,6,Order #: 80110 Dine In,Misc.,,
421,US18,7,Table: 2. Guests: 6 ,Misc.,,
422,US18,8,1 Dal Fry 10.99 ,Items,,
423,US18,9,1 Paneer Butter Masala 12.99,Items,,
424,US18,10,2 rice 3.98 ,Items,,
425,US18,11,1 Deccan Special Biryani 14.99,Items,,
426,US18,12,1 rice 1.99,Items,,
427,US18,13,Online Offer (8.99),Misc.,,
428,US18,14,SUB TOTAL: 35.95,Subtotal,,
429,US18,15,Tax 1: 2.98 ,Tax,,
430,US18,16,ORDER TOTAL 38.93,Total,,
431,US18,17,18% TIPS: 8.09 ,Misc.,,
432,US18,18,TOTAL: $47.02,Total,,
433,US18,19,2019-07-26 22:56:49,Date,Hour,
434,US18,20,No returns or cancellations accepted once order,Misc.,,
435,US18,21,is placed. Exchange only for faulty items ONLY.,Misc.,,
436,US19,1,Moonstar Restaurant,Store Name,,
437,US19,2,"383 Gellert Blvd., Daly City, CA 94015 ",Address,,
438,US19,3,(650) 992-2888,Tel#,,
439,US19,4,PAID REPRINT 1,Misc.,,
440,US19,5,Tab:332 1P 19:51 #2406,Date,Hour,Misc.
441,US19,6,QTY/LB NAME U/P PRICE ,Misc.,,
442,US19,7,WEEKDAY DINNER $29.88   29.88 ,Items,,
443,US19,8,SUBTOTAL: 29.88,Subtotal,,
444,US19,9,15% SERVICE CHARGE: 4.48,Misc.,,
445,US19,10,Tax(8.75%): 3.01 ,Tax,,
446,US19,11,SALES TOTAL: 32.89,Total,,
447,US19,12,TOTAL: 37.37,Total,,
448,US19,13,CASH: 100.00 ,Misc.,,
449,US19,14,CHANGE 62.63,Misc.,,
450,US19,15,2018-10-29 19:51:00,Date,Hour,
451,US19,16,THANK YOU ,Misc.,,
452,US20,1,Thai ,Store Name,,
453,US20,2,GUSTO,Store Name,,
454,US20,3,Thai Gusto Restaurant ,Store Name,,
455,US20,4,2011 Hewitt Ave,Address,,
456,US20,5,Everett WA 98201,Address,,
457,US20,6,"Tel. 425-252-3525 Fax, 425-252-3525 ",Tel#,Misc.,
458,US20,7,Welcome to Thai Gusto ,Misc.,,
459,US20,8,Table 4,Misc.,,
460,US20,9,Date: 6/16/2017 12:36 PM,Date,Hour,
461,US20,10,Server: PRACH (T.1),Misc.,,
462,US20,11,Chang (2@$3.50)  $7.00,Items,,
463,US20,12,# L14 Garlic Delight  $10.24,Items,,
464,US20,13,[Chicken] [5*****]|[Small Brown Rice],Items,,
465,US20,14,#L28 Red Curry  $10.24,Items,,
466,US20,15,[Chicken] [5*****] [Small Brown Rice],Items,,
467,US20,16,Total 4 item(s) $27.48,Subtotal,,
468,US20,17,Sales Tax  $2.67,Tax,,
469,US20,18,Grand Total  $30.15,Total,,
470,US20,19,Tip Guide,Misc.,,
471,US20,20,"15%=$4.52, 18%=$5.43, 20=$6.03",Misc.,,
472,US20,21,Thank you very much.,Misc.,,
473,US20,22,Come back again.,Misc.,,
474,US20,23,-GUEST CHECK-,Misc.,,
475,US20,24,This is not a receipt.,Misc.,,
476,US21,1,New Asia Buffet,Store Name,,
477,US21,2,14727.5 Rinaldi St.,Address,,
478,US21,3,"San Fernando, CA 91340",Address,,
479,US21,4,Tel:(818) 898-0880,Tel#,,
480,US21,5,Week End Dinner ,Misc.,,
481,US21,6,Date: ov-15-06-N Time: 5:17PM 84,Date,Hour,
482,US21,7,Server: 2,Misc.,,
483,US21,8,Tb#: D4,Misc.,,
484,US21,9,No. of Guest: 1,Misc.,,
485,US21,10,2 Weeken Dinner 27.96,Items,,
486,US21,11,2 Coke 3.16 ,Items,,
487,US21,12,AMOUNT: 31.12,Subtotal,,
488,US21,13,TAX(9%)  2.80,Tax,,
489,US21,14,TOTAL: 33.92,Total,,
490,US21,15,Suggested Tip (10%) : 3.39 ,Misc.,,
491,US21,16,(15%) : 5.08,Misc.,,
492,US21,17,(20%) : 6.78,Misc.,,
493,US21,18,THANK YOU VERY MUCH.,Misc.,,
494,US22,1,DOUGLAS BURGERS #15,Store Name,,
495,US22,2,11325 Washington Blvd,Address,,
496,US22,3,"Whitter, Calif 90605",Address,,
497,US22,4,(562) 689-7434,Tel#,,
498,US22,5,Check 20018,Misc.,,
499,US22,6,SAT 2/09/19 5:30pm,Date,Hour,
500,US22,7,1 BURGER COMBO 9.99,Items,,
501,US22,8,* fries *,Items,,
502,US22,9,*american ch*   0.70,Items,,
503,US22,10,1 **add bacon**  1.99,Items,,
504,US22,11,*gril onions*,Items,,
505,US22,12,1 SUB ZUCCHINI  2.49,Items,,
506,US22,13,Raspberry Ice te,Items,,
507,US22,14,1 Burger (1/4)    5.99,Items,,
508,US22,15,* sesame bun *,Items,,
509,US22,16,**REGULAR**,Misc.,,
510,US22,17,1 **add bacon**  1.99,Items,,
511,US22,18,1 **add avocado** 1.99,Items,,
512,US22,19,1 MAKE SPECIAL  3.00,Items,,
513,US22,20,* onion rings *  2.49,Items,,
514,US22,21,* lemonade *,Items,,
515,US22,22,SERV. CHARGE (2%)  0.61,Misc.,,
516,US22,23,Sub/Ttl  31.24,Subtotal,,
517,US22,24,Tax 2.97,Tax,,
518,US22,25,*DRV THRU  34.21,Total,,
519,US22,26,Cash 34.21,Misc.,,
520,US23,1,RINCON MEXICANO,Store Name,,
521,US23,2,99 BROADWAY,Address,,
522,US23,3,"SOMERVILLE, MA 02145",Address,,
523,US23,4,6179661387,Tel#,,
524,US23,5,ORDER: 45,Misc.,,
525,US23,6,Dine In,Misc.,,
526,US23,7,Cashier: LORENZO REYES,Misc.,,
527,US23,8,09-May-2017 7:19:46P,Date,Hour,
528,US23,9,2 Arroz $3.00,Items,,
529,US23,10,2 Taco De Pescado $7.00,Items,,
530,US23,11,2 Taco Tuesday Pollo $2.00,Items,,
531,US23,12,1 Taco D Carne Asada $2.99,Items,,
532,US23,13,1 Taco D Chorizo $2.99 ,Items,,
