,geo1,geo2,geo3,geo4,geo5,geo6,geo7,geo8,sentences,labels
38,190,864,309,864,309,880,190,880,EXCHANGEABLE,0
39,142,883,353,883,353,901,142,901,***,0
40,137,903,351,903,351,920,137,920,***,0
41,202,942,292,942,292,959,202,959,THANK YOU,0
42,163,962,330,962,330,977,163,977,PLEASE COME AGAIN !,0
43,412,639,442,639,442,654,412,654,9.00,1
44,76,50,323,50,323,84,76,84,TAN WOON YANN,0
45,110,165,315,165,315,188,110,188,INDAH GIFT & HOME DECO,3
46,126,191,297,191,297,214,126,214,"27,JALAN DEDAP 13,",2
47,129,218,287,218,287,236,129,236,"TAMAN JOHOR JAYA,",2
48,100,243,324,243,324,261,100,261,"81100 JOHOR BAHRU,JOHOR.",2
49,70,268,201,268,201,285,70,285,TEL:07-3507405,0
50,221,267,356,267,356,286,221,286,FAX:07-3558160,0
51,177,317,241,317,241,336,177,336,RECEIPT,0
52,16,364,257,364,257,392,16,392,19/10/2018 20:49:59 #01,4
53,25,395,132,395,132,412,25,412,CASHIER: CN,0
54,181,393,390,393,390,410,181,410,LOCATION/SP: 05 /0531,0
55,26,445,129,445,129,463,26,463,MB: MO26588,0
56,25,468,127,468,127,489,25,489,ROOM NO: 01,0
57,286,466,400,466,400,488,286,488,050100035279,0
58,24,518,114,518,114,538,24,538,DESC/ITEM,0
59,182,519,213,519,213,538,182,538,QTY,0
60,239,518,288,518,288,534,239,534,PRICE,0
61,308,517,371,517,371,534,308,534,AMT(RM),0
62,25,543,273,543,273,559,25,559,ST-PRIVILEGE CARD/GD INDAH,0
63,26,570,73,570,73,586,26,586,88888,0
64,201,565,218,565,218,588,201,588,1,0
65,238,566,294,566,294,589,238,589,10.00,0
66,319,561,382,561,382,586,319,586,10.00,0
67,22,591,257,591,257,613,22,613,GF-TABLE LAMP/STITCH <I>,0
68,24,616,78,616,78,636,24,636,62483,0
69,196,615,222,615,222,636,196,636,1,0
70,233,610,292,610,292,634,233,634,55.90,0
71,312,612,376,612,376,635,312,635,55.90,0
72,147,641,194,641,194,660,147,660,@DISC,0
73,216,642,270,642,270,661,216,661,10.00%,0
74,318,641,378,641,378,662,318,662,-5.59,0
75,25,668,122,668,122,691,25,691,#TOTAL QTY,0
76,157,663,185,663,185,687,157,687,2,0
77,26,693,280,693,280,712,26,712,TOTAL AMT................. RM,0
78,325,691,375,691,375,711,325,711,60.31,0
79,27,719,252,719,252,737,27,737,ROUNDING ADJ............,0
80,319,714,379,714,379,736,319,736,-0.01,0
81,261,768,280,768,280,787,261,787,RM,0
82,325,767,374,767,374,786,325,786,60.30,1
83,26,793,280,793,280,809,26,809,CASH.................... RM,0
84,326,792,373,792,373,809,326,809,70.30,0
85,25,815,280,815,280,835,25,835,CHANGE.................. RM,0
86,328,816,375,816,375,832,328,832,10.00,0
87,63,889,355,889,355,909,63,909,THANK YOU ! PLEASE COME AGAIN !,0
88,74,916,348,916,348,932,74,932,GOODS SOLD ARE NOT RETURNABLE,0
89,60,887,359,887,359,911,60,911,THANK YOU ! FLEASE COME AOSIN !,0
90,67,913,348,913,348,938,67,938,GOODS SOLD ARE NOT RETURNABLE,0
91,62,940,363,940,363,958,62,958,DEALING IN WHOLESALE AND RETAIL.,0
92,119,47,367,47,367,80,119,80,TAN WOON YANN,0
93,93,161,352,161,352,183,93,183,MR D.T.Y. (JOHOR) SDN BHD,3
94,137,185,320,185,320,204,137,204,(CO.REG : 933109-X),0
95,49,201,391,201,391,227,49,227,"LOT 1851-A & 1851-B, JALAN KPB 6,",2
96,60,228,382,228,382,246,60,246,"KAWASAN PERINDUSTRIAN BALAKONG,",2
97,70,249,384,249,384,267,70,267,"43300 SERI KEMBANGAN, SELANGOR",2
98,116,268,331,268,331,289,116,289,(MR DIY TESCO TERBAU),2
99,176,290,268,290,268,308,176,308,-INVOICE-,0
100,14,328,358,328,358,351,14,351,CHOPPING BOARD 35.5X25.5CM 803M#,0
101,16,349,158,349,158,372,16,372,EZ10HD05 - 24,0
102,20,371,95,371,95,393,20,393,8970669,0
103,249,373,259,373,259,393,249,393,1,0
104,266,376,282,376,282,393,266,393,X,0
105,290,374,343,374,343,395,290,395,19.00,0
106,358,375,412,375,412,396,358,396,19.00,0
107,15,394,371,394,371,417,15,417,AIR PRESSURE SPRAYER SX-575-1 1.5L,0
108,17,413,136,413,136,436,17,436,HC03-7 - 15,0
109,14,436,93,436,93,456,14,456,9066468,0
110,245,438,258,438,258,458,245,458,1,0
111,265,437,282,437,282,460,265,460,X,0
112,296,439,343,439,343,459,296,459,8.02,0
113,364,436,413,436,413,460,364,460,8.02,0
114,17,457,332,457,332,479,17,479,WAXCO WINDSHILED CLEANER 120ML,0
115,15,477,146,477,146,497,15,497,WA14-3A - 48,0
116,18,501,159,501,159,521,18,521,9557031100236,0
117,245,498,259,498,259,522,245,522,1,0
118,267,502,283,502,283,518,267,518,X,0
119,294,502,344,502,344,523,294,523,3.02,0
120,368,502,412,502,412,523,368,523,3.02,0
121,16,521,278,521,278,539,16,539,BOPP TAPE 48MM*100M CLEAR,0
122,21,542,124,542,124,559,21,559,FZ-04 - 36,0
123,19,563,155,563,155,583,19,583,6935818350846,0
124,245,561,256,561,256,583,245,583,1,0
125,265,562,282,562,282,586,265,586,X,0
126,296,561,340,561,340,589,296,589,3.88,0
127,367,563,424,563,424,586,367,586,3.88,0
128,21,604,132,604,132,624,21,624,ITEM(S) : 4,0
129,329,607,431,607,431,628,329,628,QTY(S) : 4,0
130,17,643,79,643,79,665,17,665,TOTAL,0
131,347,650,432,650,432,668,347,668,RM 33.92,0
132,16,667,216,667,216,688,16,688,ROUNDING ADJUSTMENT,0
133,345,667,436,667,436,689,345,689,-RM 0.02,0
134,16,688,155,688,155,711,16,711,TOTAL ROUNDED,0
135,347,688,431,688,431,712,347,712,RM 33.90,1
136,16,710,62,710,62,728,16,728,CASH,0
137,343,711,435,711,435,729,343,729,RM 50.00,0
138,15,730,85,730,85,754,15,754,CHANGE,0
139,349,733,432,733,432,753,349,753,RM 16.10,0
140,22,773,269,773,269,791,22,791,12-01-19 21:13 SH01 ZK09,4
141,297,772,431,772,431,794,297,794,T4 R000027830,0
142,18,794,269,794,269,812,18,812,OPERATOR TRAINEE CASHIER,0
143,82,835,361,835,361,855,82,855,EXCHANGE ARE ALLOWED WITHIN,0
144,122,858,325,858,325,876,122,876,7 DAYS WITH RECEIPT.,0
145,101,877,347,877,347,899,101,899,STRICTLY NO CASH REFUND.,0
146,96,41,353,41,353,79,96,79,TAN WOON YANN,0
147,88,107,366,107,366,133,88,133,YONGFATT ENTERPRISE,3
148,171,137,280,137,280,155,171,155,(JM0517726),0
149,104,162,347,162,347,179,104,179,NO 122.124 JALAN DEDAP 13,2
150,136,184,316,184,316,198,136,198,81100 JOHOR BAHRU,2
151,157,220,295,220,295,238,157,238,TEL 07-3523888,0
152,135,252,320,252,320,269,135,269,GST ID: 000849813504,0
153,112,277,349,277,349,296,112,296,SIMPLIFIED TAX INVOICE,0
154,18,316,66,316,66,333,18,333,CASH,0
155,19,343,78,343,78,360,19,360,DOC NO,0
156,141,337,251,337,251,358,141,358,CS00031663,0
157,276,341,312,341,312,359,276,359,DATE,0
158,329,341,415,341,415,358,329,358,25/12/2018,4
159,18,369,79,369,79,386,18,386,CASHIER,0
160,143,368,191,368,191,383,143,383,USER,0
161,276,365,313,365,313,382,276,382,TIME,0
162,334,367,395,367,395,383,334,383,12 31 00,0
163,19,393,114,393,114,412,19,412,SALESPERSON,0
164,275,392,306,392,306,410,275,410,REF.,0
165,20,439,53,439,53,454,20,454,ITEM,0
166,170,437,197,437,197,457,170,457,QTY,0
167,232,435,287,435,287,454,232,454,S/PRICE,0
168,313,438,378,438,378,453,313,453,AMOUNT,0
169,398,438,426,438,426,454,398,454,TAX,0
170,21,462,69,462,69,478,21,478,E8318,0
171,172,457,194,457,194,475,172,475,1,0
172,234,459,286,459,286,477,234,477,80.91,0
173,328,457,380,457,380,480,328,480,80.91,0
174,395,459,428,459,428,478,395,478,SR,0
175,21,486,231,486,231,502,21,502,ELEGANT SCHTR BAG 15,0
176,65,509,133,509,133,528,65,528,TOTAL QTY,0
177,175,509,192,509,192,524,175,524,1,0
178,329,509,380,509,380,528,329,528,80.91,0
179,66,546,289,546,289,562,66,562,TOTAL SALES (EXCLUDING GST) :,0
180,334,546,375,546,375,562,334,562,80.91,0
181,207,572,290,572,290,588,207,588,DISCOUNT :,0
182,342,572,377,572,377,588,342,588,0.00,0
183,198,599,290,599,290,616,198,616,TOTAL GST :,0
184,336,597,385,597,385,619,336,619,0.00,0
185,202,628,273,628,273,646,202,646,ROUNDING,0
186,333,626,386,626,386,646,333,646,-0.01,0
187,33,658,290,658,290,676,33,676,TOTAL SALES (INCLUSIVE OF GST) :,0
188,331,653,383,653,383,674,331,674,80.90,1
189,227,687,292,687,292,705,227,705,CASH :,0
190,326,689,377,689,377,703,326,703,100.00,0
191,211,712,290,712,290,731,211,731,CHANGE :,0
192,335,713,378,713,378,729,335,729,19.10,0
193,50,762,187,762,187,778,50,778,GST SUMMARY,0
194,55,793,132,793,132,809,55,809,TAX CODE,0
195,174,794,188,794,188,810,174,810,%,0
196,228,793,303,793,303,811,228,811,AMT (RM),0
197,334,792,405,792,405,810,334,810,TAX (RM),0
198,55,815,80,815,80,832,55,832,SR,0
199,168,813,191,813,191,831,168,831,0,0
200,258,814,301,814,301,831,258,831,80.91,0
201,371,815,406,815,406,829,371,829,0.00,0
202,140,841,206,841,206,867,140,867,TOTAL :,0
203,256,844,301,844,301,862,256,862,80.91,0
204,371,847,405,847,405,863,371,863,0.00,0
205,71,895,385,895,385,909,71,909,GOODS SOLD ARE NOT REFUNDABLE ONLY,0
206,83,41,331,41,331,78,83,78,TAN WOON YANN,0
207,109,171,330,171,330,191,109,191,MR D.I.Y. (M) SDN BHD,3
208,122,190,325,190,325,213,122,213,(CO. RFG : 860671-D),0
209,47,208,391,208,391,233,47,233,"LOT 1851-A & 1851-B, JALAN KPB 6,",2
210,62,235,381,235,381,254,62,254,"KAWASAN PERINDUSTRIAN BALAKONG,",2
211,70,256,384,256,384,275,70,275,"43300 SERI KEMBANGAN, SELANGOR",2
212,125,275,318,275,318,297,125,297,(TESCO PUTRA NILAI),2
213,177,295,266,295,266,317,177,317,-INVOICE-,0
214,12,337,402,337,402,362,12,362,KILAT AUTO ECO WASH & SHINE ES1000 1L,0
215,20,360,160,360,160,383,20,383,WA45 /2A - 12,0
216,16,382,156,382,156,402,16,402,9555916500133,0
217,245,380,260,380,260,402,245,402,1,0
218,265,385,288,385,288,400,265,400,X,0
219,300,382,347,382,347,404,300,404,3.11,0
220,371,385,419,385,419,404,371,404,3.11,0
221,15,402,394,402,394,424,15,424,KILAT' ECO AUTO WASH &WAX EW-1000-1L,0
222,16,424,134,424,134,446,16,446,WA44-A - 12,0
223,18,447,165,447,165,468,18,468,9555916500126,0
224,244,444,259,444,259,467,244,467,1,0
225,267,446,282,446,282,468,267,468,X,0
226,297,447,350,447,350,472,297,472,4.62,0
227,369,444,417,444,417,470,369,470,4.62,0
228,19,467,217,467,217,489,19,489,WD40 27ML MOO 2572,0
229,18,489,140,489,140,508,18,508,WA43-A - 24,0
230,19,510,152,510,152,531,19,531,079567600084,0
231,245,509,259,509,259,528,245,528,1,0
232,265,511,285,511,285,530,265,530,X,0
233,285,509,347,509,347,532,285,532,11.23,0
234,359,509,419,509,419,531,359,531,11.23,0
235,14,531,367,531,367,553,14,553,KLEENSO AJAIB 99 SERAI WANYI 900G,0
236,18,552,120,552,120,573,18,573,WDOO - 15,0
237,16,575,157,575,157,595,16,595,9555651400385,0
238,247,575,260,575,260,591,247,591,1,0
239,265,576,284,576,284,595,265,595,X,0
240,298,572,343,572,343,594,298,594,7.45,0
241,371,572,420,572,420,601,371,601,7.45,0
242,16,594,265,594,265,614,16,614,HANDKERCHIEF 71386#2PCS,0
243,15,618,213,618,213,636,15,636,PI12PJ11-4 - 6/300,0
244,15,638,101,638,101,661,15,661,9090822,0
245,245,636,260,636,260,659,245,659,1,0
246,263,637,284,637,284,657,263,657,X,0
247,295,636,344,636,344,661,295,661,4.50,0
248,371,637,420,637,420,659,371,659,4.50,0
249,13,678,140,678,140,705,13,705,ITEM (S) : 5,0
250,324,678,445,678,445,708,324,708,QTY(S) : 5,0
251,14,718,77,718,77,741,14,741,TOTAL,0
252,346,718,439,718,439,741,346,741,RM 30.91,0
253,15,742,218,742,218,761,15,761,ROUNDING ADJUSTMENT,0
254,355,740,435,740,435,762,355,762,RM 0.01,0
255,15,763,162,763,162,784,15,784,TOTAL ROUNDED,0
256,346,762,434,762,434,784,346,784,RM 30.90,1
257,18,783,72,783,72,804,18,804,CASH,0
258,347,783,437,783,437,806,347,806,RM 51.00,0
259,14,804,84,804,84,825,14,825,CHANGE,0
260,349,804,440,804,440,829,349,829,RM 20.10,0
261,18,848,271,848,271,870,18,870,18-11-18 13 : 58 SH01 ZI53,4
262,297,847,438,847,438,874,297,874,T2 R000002902,0
263,19,869,278,869,278,894,19,894,UPERATOR TRAINEE CASHIER,0
264,79,910,369,910,369,932,79,932,EXCHANGE ARE ALLOWED WITHIN,0
265,120,930,329,930,329,953,120,953,7 DAYS WITH RECEIPT.,0
266,98,949,352,949,352,974,98,974,STRICTLY NO CASH REFUND.,0
267,143,43,362,43,362,80,143,80,TAN CHAY YEE,0
268,129,86,309,86,309,111,129,111,ABC HO TRADING,3
269,107,112,328,112,328,134,107,134,"NO.2&4,JALAN HARMONI 3/2,",2
270,125,135,309,135,309,158,125,158,TAMAN DESA HARMONI.,2
271,104,158,330,158,330,177,104,177,81100 JOHOR BAHRU JOHOR,2
272,167,182,279,182,279,203,167,203,07-355 2616,0
273,27,243,105,243,105,260,27,260,CASH BILL :,0
274,118,242,202,242,202,260,118,260,01-143008,0
275,23,263,67,263,67,286,23,286,DATE,0
276,93,268,111,268,111,284,93,284,:,0
277,118,263,301,263,301,290,118,290,09/01/2019 8:01:11 PM,4
278,21,290,87,290,87,307,21,307,CASHIER,0
279,93,294,112,294,112,310,93,310,:,0
280,117,288,144,288,144,306,117,306,01,0
281,37,314,136,314,136,332,37,332,DESCRIPTION,0
282,211,312,249,312,249,334,211,334,QTY,0
283,266,311,317,311,317,332,266,332,PRICE,0
284,330,312,406,312,406,335,330,335,AMOUNT,0
285,277,337,315,337,315,357,277,357,RM,0
286,347,337,387,337,387,354,347,354,RM,0
287,22,362,79,362,79,378,22,378,PLASTIC,0
288,228,361,248,361,248,382,228,382,2,0
289,263,360,309,360,309,377,263,377,15.50,0
290,327,359,383,359,383,384,327,384,31.00,1
291,208,394,260,394,260,413,208,413,TOTAL :,0
292,356,395,419,395,419,416,356,416,31.00,1
293,142,418,262,418,262,439,142,439,TOTAL AMOUNT:,0
294,345,420,411,420,411,442,345,442,31.00,1
295,133,439,260,439,260,463,133,463,CASH RECEIVED :,0
296,353,442,412,442,412,459,353,459,101.00,0
297,181,461,262,461,262,487,181,487,CHANGE :,0
298,364,464,414,464,414,488,364,488,70.00,0
299,86,502,362,502,362,523,86,523,*GOODS SOLD ARE NON-REFUNDABLE*,0
300,149,524,306,524,306,544,149,544,***THANK YOU***,0
301,121,547,331,547,331,570,121,570,***PLEASE COME AGAIN***,0
302,94,40,316,40,316,79,94,79,TAN CHAY YEE,0
303,23,103,431,103,431,130,23,130,SOON HUAT MACHINERY ENTERPRISE,3
304,159,128,291,128,291,149,159,149,(JM0352019-K),0
305,127,154,321,154,321,177,127,177,"NO.53 JALAN PUTRA 1,",2
306,143,178,305,178,305,199,143,199,"TAMAN SRIPUTRA,",0
307,131,201,316,201,316,225,131,225,81200 JOHOR BAHRU,2
308,185,225,269,225,269,248,185,248,JOHOR,2
309,17,250,271,250,271,270,17,270,TEL : 07-5547360 / 016-7993391,0
310,293,251,432,251,432,267,293,267,FAX : 07-5624059,0
311,90,276,362,276,362,293,90,293,SOONHUAT2000@HOTMAIL.COM,0
312,128,297,322,297,322,317,128,317,GST ID : 002116837376,0
313,163,329,283,329,283,346,163,346,CASH SALES,0
314,12,356,80,356,80,380,12,380,DOC NO.,0
315,122,359,239,359,239,377,122,377,: CS00004040,0
316,294,356,433,356,433,375,294,375,DATE: 11/01/2019,4
317,14,385,78,385,78,401,14,401,CASHIER,0
318,123,386,189,386,189,402,123,402,: USER,0
319,296,383,414,383,414,402,296,402,TIME: 09:44:00,0
320,15,413,129,413,129,429,15,429,SALESPERSON :,0
321,300,410,340,410,340,429,300,429,REF.:,0
322,45,1136,410,1136,410,1160,45,1160,"GOODS SOLD ARE NOT RETURNABLE, THANK YOU.",0
323,11,455,54,455,54,472,11,472,ITEM,0
324,131,451,170,451,170,475,131,475,QTY,0
325,187,448,240,448,240,476,187,476,S/PRICE,0
326,250,451,307,451,307,474,250,474,S/PRICE,0
327,328,451,390,451,390,472,328,472,AMOUNT,0
328,400,448,437,448,437,471,400,471,TAX,0
329,11,475,60,475,60,498,11,498,1072,0
330,142,476,161,476,161,493,142,493,1,0
331,185,475,236,475,236,495,185,495,80.00,0
332,253,472,300,472,300,496,253,496,80.00,0
333,345,473,397,473,397,493,345,493,80.00,0
334,16,502,321,502,321,516,16,516,REPAIR ENGINE POWER SPRAYER (1UNIT),0
335,13,527,167,527,167,543,13,543,WORKMANSHIP & SERVICE,0
336,15,546,66,546,66,570,15,570,70549,0
337,140,547,161,547,161,568,140,568,1,0
338,186,544,243,544,243,565,186,565,160.00,0
339,255,546,308,546,308,567,255,567,160.00,0
340,341,540,398,540,398,564,341,564,160.00,0
341,15,568,228,568,228,588,15,588,GIANT 606 OVERFLOW ASSY,0
342,13,598,57,598,57,618,13,618,1071,0
343,142,596,161,596,161,613,142,613,1,0
344,195,596,239,596,239,617,195,617,17.00,0
345,259,595,304,595,304,622,259,622,17.00,0
346,344,591,403,591,403,618,344,618,17.00,0
347,13,622,108,622,108,642,13,642,ENGINE OIL,0
348,11,647,63,647,63,668,11,668,70791,0
349,140,649,163,649,163,669,140,669,1,0
350,194,647,239,647,239,667,194,667,10.00,0
351,258,649,306,649,306,669,258,669,10.00,0
352,346,645,393,645,393,666,346,666,10.00,0
353,13,675,283,675,283,694,13,694,GREASE FOR TOOLS 40ML (AKODA),0
354,15,699,66,699,66,720,15,720,70637,0
355,142,701,169,701,169,718,142,718,1,0
356,197,698,234,698,234,718,197,718,6.00,0
357,261,698,302,698,302,715,261,715,6.00,0
358,356,695,397,695,397,716,356,716,6.00,0
359,11,723,183,723,183,743,11,743,EY20 PLUG CHAMPION,0
360,15,750,60,750,60,771,15,771,1643,0
361,146,753,163,753,163,770,146,770,1,0
362,193,749,234,749,234,772,193,772,8.00,0
363,261,750,302,750,302,769,261,769,8.00,0
364,354,742,397,742,397,769,354,769,8.00,0
365,22,778,128,778,128,796,22,796,STARTER TALI,0
366,22,802,60,802,60,822,22,822,70197,0
367,143,801,166,801,166,820,143,820,1,0
368,198,802,236,802,236,817,198,817,10.00,0
369,263,802,303,802,303,816,263,816,10.00,0
370,354,802,392,802,392,817,354,817,10.00,0
371,19,828,191,828,191,844,19,844,EY20 STARTER HANDLE,0
372,20,853,62,853,62,874,20,874,70561,0
373,142,853,169,853,169,873,142,873,2,0
374,198,854,232,854,232,868,198,868,18.00,0
375,267,852,301,852,301,869,267,869,18.00,0
376,351,854,390,854,390,870,351,870,36.00,0
377,19,878,128,878,128,896,19,896,HD40 1L COTIN,0
378,42,903,111,903,111,924,42,924,TOTAL QTY:,0
379,142,900,163,900,163,920,142,920,9,0
380,339,903,392,903,392,918,339,918,327.00,1
381,208,940,306,940,306,960,208,960,TOTAL SALES :,0
382,338,940,395,940,395,958,338,958,327.00,1
383,222,972,307,972,307,990,222,990,DISCOUNT :,0
384,358,972,396,972,396,987,358,987,0.00,0
385,254,1000,307,1000,307,1018,254,1018,TOTAL :,0
386,360,1001,394,1001,394,1016,360,1016,0.00,0
387,220,1032,306,1032,306,1049,220,1049,ROUNDING :,0
388,361,1032,394,1032,394,1046,361,1046,0.00,0
389,200,1060,309,1060,309,1081,200,1081,TOTAL SALES :,0
390,343,1062,392,1062,392,1076,343,1076,327.00,1
391,241,1091,308,1091,308,1107,241,1107,CASH :,0
392,343,1091,394,1091,394,1108,343,1108,327.00,1
393,227,1114,308,1114,308,1132,227,1132,CHANGE :,0
394,359,1114,394,1114,394,1128,359,1128,0.00,0
395,127,55,347,55,347,89,127,89,TAN CHAY YEE,0
396,53,88,415,88,415,127,53,127,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.,3
397,157,126,266,126,266,147,157,147,(801580-T),0
398,77,150,392,150,392,170,77,170,"NO. 343, JALAN KURAU, SUNGAI RENGIT,",2
399,124,167,334,167,334,191,124,191,"81620 PENGERANG, JOHOR.",2
400,95,191,374,191,374,215,95,215,TEL: 07-8263254 FAX: 07-8266888,0
401,201,234,266,234,266,259,201,259,INVOICE,0
402,17,300,103,300,103,323,17,323,ITEM/DESC.,0
403,253,300,440,300,440,323,253,323,QTY U.PRICE RM(TOTAL),0
404,14,343,56,343,56,364,14,364,4132,0
405,272,343,290,343,290,369,272,369,1,0
406,307,343,353,343,353,367,307,367,20.00,1
407,392,344,443,344,443,367,392,367,20.00,1
408,19,364,186,364,186,389,19,389,CROCS 300X17 TUBES,0
409,264,408,360,408,360,428,264,428,SUB TOTAL :,0
410,396,410,441,410,441,427,396,427,20.00,1
411,175,432,360,432,360,449,175,449,ROUNDING ADJUSTMENT :,0
412,405,433,441,433,441,451,405,451,0.00,0
413,241,450,361,450,361,473,241,473,GRAND TOTAL :,0
414,397,454,439,454,439,472,397,472,20.00,1
415,306,475,361,475,361,497,306,497,CASH :,0
416,396,473,442,473,442,494,396,494,20.00,1
417,289,497,361,497,361,516,289,516,CHANGE :,0
418,405,497,443,497,443,516,405,516,0.00,0
419,15,538,351,538,351,561,15,561,"23-01-2019 13:14:15 PM, PRINT BY: ROOT",4
420,18,560,345,560,345,581,18,581,"TOKEN NO: 0, STATION ID: A1, PID: POS",0
421,14,582,167,582,167,602,14,602,INVOICE NO: 22497,0
422,15,622,186,622,186,645,15,645,THANKS YOUR SUPPORT,0
423,366,241,597,241,597,259,366,259,PERNIAGAAN ZHENG HUI,3
424,435,263,526,263,526,283,435,283,JM0325955-V,0
425,391,282,562,282,562,302,391,302,NO.59 JALAN PERMAS 9/5,2
426,377,299,578,299,578,315,377,315,BANDAR BARU PERMAS JAYA,2
427,407,319,549,319,549,336,407,336,81760 JOHOR BAHRU,2
428,367,337,614,337,614,353,367,353,TEL : 07-386 7524 FAX : 07-386 3793,0
429,409,357,570,357,570,374,409,374,GST NO: 000800589824,0
430,399,387,579,387,579,402,399,402,SIMPLIFIED TAX INVOICE,0
431,311,411,561,411,561,428,311,428,GOGIANT ENGINEERING (M) SDN BHD,0
432,309,437,462,437,462,452,309,452,RECEIPT#: CS00082662,0
433,309,457,392,457,392,474,309,474,SALESPERSON:,0
434,532,463,637,463,637,479,532,479,DATE: 12/02/2018,4
435,308,475,410,475,410,492,308,492,CASHIER: USER,0
436,530,483,624,483,624,498,530,498,TIME:08:30:00,0
437,540,513,574,513,574,527,540,527,(RM),0
438,612,512,647,512,647,528,612,528,(RM),0
439,308,525,340,525,340,541,308,541,ITEM,0
440,489,530,516,530,516,545,489,545,QTY,0
441,543,527,569,527,569,544,543,544,RSP,0
442,592,529,645,529,645,543,592,543,AMOUNT,0
443,307,543,343,543,343,558,307,558,8239,0
444,495,548,509,548,509,561,495,561,1,0
445,540,547,575,547,575,563,540,563,15.00,0
446,610,544,644,544,644,562,610,562,15.00,0
447,309,563,619,563,619,580,309,580,"SR: 11"" PROWESS H/DUTY SILICONE GUN G-D2",0
448,301,585,410,585,410,603,301,603,9555075109147,0
449,492,588,515,588,515,602,492,602,3,0
450,540,588,576,588,576,602,540,602,7.00,0
451,606,587,648,587,648,602,606,602,21.00,0
452,304,605,608,605,608,622,304,622,SR: XTRASEAL RTV ACETIC SILICONE SA-107,0
453,305,627,342,627,342,641,305,641,9744,0
454,495,631,506,631,506,643,495,643,1,0
455,537,629,575,629,575,645,537,645,18.00,0
456,608,629,642,629,642,644,608,644,18.00,0
457,307,646,616,646,616,665,307,665,"SR: CENTRAL PUNCH SET 3PCS - 1/4"",5/32"".1/4""",0
458,305,667,348,667,348,681,305,681,12525,0
459,496,672,509,672,509,685,496,685,1,0
460,537,669,576,669,576,685,537,685,50.00,0
461,606,670,642,670,642,686,606,686,50.00,0
462,304,688,535,688,535,705,304,705,"SR. 24"" MARKSMAN PIPE WRENCH",0
463,304,709,340,709,340,723,304,723,2016,0
464,495,711,508,711,508,725,495,725,3,0
465,538,709,569,709,569,725,538,725,0.70,0
466,614,712,643,712,643,726,614,726,2.10,0
467,305,727,512,727,512,746,305,746,SR: PVC WIRE TAPE 1PC X 7YD,0
468,337,746,402,746,402,764,337,764,TOT QTY:,0
469,422,750,435,750,435,765,422,765,9,0
470,598,750,642,750,642,769,598,769,106.10,0
471,354,790,556,790,556,808,354,808,(EXCLUDED GST) SUB TOTAL (RM) :,0
472,593,792,636,792,636,808,593,808,106.10,0
473,452,814,556,814,556,831,452,831,DISCOUNT (RM) :,0
474,604,816,638,816,638,830,604,830,0.00,0
475,446,838,554,838,554,855,446,855,TOTAL GST (RM) :,0
476,605,840,634,840,634,854,605,854,6.37,0
477,420,863,558,863,558,883,420,883,ROUNDING (RM) :,0
478,590,866,635,866,635,881,590,881,-0.02,0
479,456,888,557,888,557,907,456,907,TOTAL (RM) :,0
